S.No.,filename,Length (cm),Original Length,ratio
220,DSC04607.JPG,20.90208331,5.43,3.849370775
221,DSC04608.JPG,21.35187497,5.43,3.932205335
222,DSC04609.JPG,20.90208331,4.6,4.543931154
223,DSC04610.JPG,20.90208331,4.6,4.543931154
224,DSC04611.JPG,20.45229164,5.09,4.018131953
225,DSC04612.JPG,21.35187497,5.09,4.194867381
226,DSC04613.JPG,21.80166664,4.86,4.485939638
227,DSC04614.JPG,22.75416664,4.86,4.681927292
228,DSC04615.JPG,20.34645831,5.15,3.950768604
229,DSC04616.JPG,20.90208331,5.15,4.058656953
230,DSC04617.JPG,21.93395831,5.05,4.343358081
231,DSC04618.JPG,21.69583331,5.05,4.296204616
232,DSC04619.JPG,21.82812497,5.06,4.31385869
233,DSC04620.JPG,22.03979164,5.06,4.355690047
234,DSC04621.JPG,21.82812497,5.21,4.189659303
235,DSC04622.JPG,20.90208331,5.21,4.011916182
236,DSC04623.JPG,22.7277083,5.31,4.280171055
237,DSC04624.JPG,20.92854164,5.31,3.941344942
238,DSC04627.JPG,23.0452083,5.41,4.259742754
239,DSC04628.JPG,22.59541664,5.41,4.176601967
240,DSC04629.JPG,21.61645831,5.08,4.255208329
241,DSC04630.JPG,22.62187497,5.08,4.453124994
242,DSC04631.JPG,20.45229164,5.31,3.851655676
243,DSC04632.JPG,20.00249997,5.31,3.766949147
244,DSC04633.JPG,19.76437498,5.38,3.673675647
245,DSC04634.JPG,20.47874997,5.38,3.806459102
246,DSC04635.JPG,20.34645831,5.28,3.853495892
247,DSC04636.JPG,20.45229164,5.28,3.873540083
248,DSC04637.JPG,21.37833331,4.76,4.491246494
249,DSC04638.JPG,21.85458331,4.76,4.591299015
250,DSC04640.JPG,20.58458331,4.9,4.200935369
251,DSC04641.JPG,20.45229164,4.9,4.173937069
252,DSC04642.JPG,21.35187497,5.4,3.95405092
253,DSC04643.JPG,21.85458331,5.4,4.047145057
254,DSC04644.JPG,22.27791664,5.2,4.284214738
255,DSC04645.JPG,20.79624997,5.2,3.99927884
256,DSC04646.JPG,20.69041664,5.15,4.017556629
257,DSC04647.JPG,21.35187497,5.15,4.14599514
258,DSC04648.JPG,20.24062497,5.38,3.76219795
259,DSC04649.JPG,20.47874997,5.38,3.806459102
260,DSC04650.JPG,22.25145831,5.38,4.135958794
261,DSC04651.JPG,22.70124997,5.38,4.219563191
262,DSC04652.JPG,20.34645831,4.85,4.195146043
263,DSC04653.JPG,20.37291664,4.85,4.200601369
264,DSC04654.JPG,21.56354164,5.1,4.22814542
265,DSC04655.JPG,22.27791664,5.1,4.368218949
266,DSC04656.JPG,21.69583331,4.86,4.464163233
267,DSC04657.JPG,21.35187497,4.86,4.393389912
268,DSC04658.JPG,22.30437497,4.69,4.755730271
269,DSC04659.JPG,21.56354164,4.69,4.597770072
270,DSC04660.JPG,23.17749997,5.12,4.526855463
271,DSC04661.JPG,23.1245833,5.12,4.516520176
272,DSC04662.JPG,22.25145831,5.4,4.120640428
273,DSC04663.JPG,21.82812497,5.4,4.042245365
274,DSC04664.JPG,21.82812497,5.25,4.15773809
275,DSC04665.JPG,21.93395831,5.25,4.177896821
276,DSC04666.JPG,21.37833331,5.4,3.958950613
277,DSC04667.JPG,21.82812497,5.4,4.042245365
278,DSC04668.JPG,21.82812497,5.36,4.072411375
279,DSC04669.JPG,21.85458331,5.36,4.077347632
280,DSC04670.JPG,21.35187497,5.21,4.098248555
281,DSC04671.JPG,20.47874997,5.21,3.930662182
282,DSC04672.JPG,24.05062497,5.05,4.762499994
283,DSC04673.JPG,22.7277083,5.05,4.500536297
284,DSC04674.JPG,22.27791664,4.82,4.621974407
285,DSC04675.JPG,23.15104164,4.82,4.803120672
286,DSC04676.JPG,23.15104164,4.8,4.823133675
287,DSC04677.JPG,22.67479164,4.8,4.723914925
288,DSC04678.JPG,21.37833331,5.91,3.617315281
289,DSC04679.JPG,22.27791664,5.91,3.769529042
290,DSC04680.JPG,21.82812497,5.75,3.796195647
291,DSC04681.JPG,22.25145831,5.75,3.869818837
292,DSC04682.JPG,20.47874997,5.57,3.676615794
293,DSC04683.JPG,19.55270831,5.57,3.510360558
294,DSC04684.JPG,23.15104164,5.1,4.539419929
295,DSC04685.JPG,24.05062497,5.1,4.715808818
296,DSC04686.JPG,21.80166664,3.75,5.813777771
